genome_id,antibiotic,phenotype,label,evidence,record_count,record_ids,measurement,measurement_unit,laboratory_typing_method,testing_standard,testing_standard_year,pmid,source_date_modified
573.12771,ceftazidime,Resistant,1,Laboratory Method,1,86c1f033-ed32-460c-8a6a-5445f746aa39,==16,mg/L,Broth dilution,CLSI,,,2017-07-22T17:29:48.231Z
573.12771,ciprofloxacin,Susceptible,0,Laboratory Method,1,1221c6ff-9f0a-4fbd-963a-7d98eb4f1d05,==0.25,mg/L,Broth dilution,CLSI,,,2017-07-22T17:29:48.231Z
573.12771,gentamicin,Susceptible,0,Laboratory Method,1,b19441f6-0198-4c5f-b623-1ac017b2e47f,<=0.25,mg/L,Broth dilution,CLSI,,,2017-07-22T17:29:48.231Z
573.12771,meropenem,Resistant,1,Laboratory Method,1,5785bd4a-0103-4024-8d4f-9fa063e32760,==16,mg/L,Broth dilution,CLSI,,,2017-07-22T17:29:48.231Z
573.12772,ceftazidime,Resistant,1,Laboratory Method,1,b8aaf950-1036-40ac-82e4-2ba842ed70a0,>128,mg/L,Broth dilution,CLSI,,,2017-07-22T17:30:27.802Z
573.12772,ciprofloxacin,Resistant,1,Laboratory Method,1,369b234f-a0fd-4345-8c17-36b6d00282b7,>8,mg/L,Broth dilution,CLSI,,,2017-07-22T17:30:27.802Z
573.12772,gentamicin,Resistant,1,Laboratory Method,1,e709eb37-dae4-4cc9-846f-b2c342e0613a,>16,mg/L,Broth dilution,CLSI,,,2017-07-22T17:30:27.802Z
573.12772,meropenem,Resistant,1,Laboratory Method,1,89659d2b-56d4-44c1-8053-bb69641da5b0,>8,mg/L,Broth dilution,CLSI,,,2017-07-22T17:30:27.802Z
573.12773,ceftazidime,Resistant,1,Laboratory Method,1,6db072d5-78f6-48e5-a340-b1a8d5910193,>128,mg/L,Broth dilution,CLSI,,,2017-07-22T17:31:29.094Z
573.12773,ciprofloxacin,Resistant,1,Laboratory Method,1,51a10468-dcf3-482f-b435-4813cf47620d,>8,mg/L,Broth dilution,CLSI,,,2017-07-22T17:31:29.094Z
573.12773,gentamicin,Resistant,1,Laboratory Method,1,a9af3096-4b0b-4a5a-a6df-f24b5a183470,>16,mg/L,Broth dilution,CLSI,,,2017-07-22T17:31:29.094Z
573.12773,meropenem,Resistant,1,Laboratory Method,1,a55411f0-33b4-465c-b76d-894f52ff3746,>8,mg/L,Broth dilution,CLSI,,,2017-07-22T17:31:29.094Z
573.12777,ceftazidime,Resistant,1,Laboratory Method,1,a099710b-7e6a-4f0e-944a-bbbc743aaf2a,==128,mg/L,Broth dilution,CLSI,,,2017-07-22T19:49:02.973Z
573.12777,ciprofloxacin,Resistant,1,Laboratory Method,1,fd7a4ff1-73d5-41bd-9933-3486897ad85f,>8,mg/L,Broth dilution,CLSI,,,2017-07-22T19:49:02.973Z
573.12777,gentamicin,Resistant,1,Laboratory Method,1,516d56c4-4b79-45eb-947f-1d6bf5fb09f5,==16,mg/L,Broth dilution,CLSI,,,2017-07-22T19:49:02.973Z
573.12777,meropenem,Resistant,1,Laboratory Method,1,f16a3a5a-f526-462a-8e37-a27181b16bc5,>16,mg/L,Broth dilution,CLSI,,,2017-07-22T19:49:02.973Z
573.12778,ceftazidime,Resistant,1,Laboratory Method,1,39b6f0ec-85e3-41c7-9ce7-4e051f81d068,>256,mg/L,Broth dilution,CLSI,,,2017-07-22T19:58:18.830Z
573.12778,ciprofloxacin,Resistant,1,Laboratory Method,1,37c10d49-9f00-42bf-86db-5b80ba508273,>8,mg/L,Broth dilution,CLSI,,,2017-07-22T19:58:18.830Z
573.12778,gentamicin,Resistant,1,Laboratory Method,1,1832c7a6-c595-49eb-a358-740fb0b783e4,>16,mg/L,Broth dilution,CLSI,,,2017-07-22T19:58:18.830Z
573.12778,meropenem,Resistant,1,Laboratory Method,1,5fe313c0-28e7-41fd-92f8-c23698220df7,>16,mg/L,Broth dilution,CLSI,,,2017-07-22T19:58:18.830Z
573.12779,ceftazidime,Resistant,1,Laboratory Method,1,47641f7a-7afe-4ab8-aa19-e15d8352b377,>128,mg/L,Broth dilution,CLSI,,,2017-07-22T22:20:38.786Z
573.12779,ciprofloxacin,Resistant,1,Laboratory Method,1,d450986a-b7c0-444f-bb00-3632c69d9563,>8,mg/L,Broth dilution,CLSI,,,2017-07-22T22:20:38.786Z
573.12779,gentamicin,Resistant,1,Laboratory Method,1,4e035d2f-8c0e-4f0d-9064-d29461e2d8d3,>16,mg/L,Broth dilution,CLSI,,,2017-07-22T22:20:38.786Z
573.12779,meropenem,Resistant,1,Laboratory Method,1,26bfc593-f379-4fec-bd4a-6677090fa18b,>8,mg/L,Broth dilution,CLSI,,,2017-07-22T22:20:38.786Z
573.12780,ceftazidime,Resistant,1,Laboratory Method,1,f278e870-4f8c-4593-a880-306cc117abe9,>128,mg/L,Broth dilution,CLSI,,,2017-07-22T22:21:58.232Z
573.12780,ciprofloxacin,Resistant,1,Laboratory Method,1,59ab072a-27ff-46a8-8206-1eb756f530d6,>8,mg/L,Broth dilution,CLSI,,,2017-07-22T22:21:58.232Z
573.12780,gentamicin,Susceptible,0,Laboratory Method,1,2bdca1f7-0c9b-4b17-8145-3624761967f3,==1,mg/L,Broth dilution,CLSI,,,2017-07-22T22:21:58.232Z
573.12780,meropenem,Resistant,1,Laboratory Method,1,25560d75-fa73-424b-9d25-0bc5b9721da5,>8,mg/L,Broth dilution,CLSI,,,2017-07-22T22:21:58.232Z
573.12781,ceftazidime,Resistant,1,Laboratory Method,1,bf8cb83c-fe79-4138-aa0d-e5a96c50be88,>128,mg/L,Broth dilution,CLSI,,,2017-07-22T22:22:51.484Z
573.12781,ciprofloxacin,Resistant,1,Laboratory Method,1,9e2dc796-b954-4d7b-948c-20f683d3751f,>8,mg/L,Broth dilution,CLSI,,,2017-07-22T22:22:51.484Z
573.12781,gentamicin,Susceptible,0,Laboratory Method,1,7a1fd132-94c0-40d9-80f8-51f5b4bd7068,==0.5,mg/L,Broth dilution,CLSI,,,2017-07-22T22:22:51.484Z
573.12781,meropenem,Resistant,1,Laboratory Method,1,19e5a409-a658-498a-8069-14507b8d4a61,>8,mg/L,Broth dilution,CLSI,,,2017-07-22T22:22:51.484Z
573.12782,ceftazidime,Resistant,1,Laboratory Method,1,f72e63d5-8c7b-47b9-b0d2-383cbf510623,>128,mg/L,Broth dilution,CLSI,,,2017-07-22T22:22:22.394Z
573.12782,ciprofloxacin,Resistant,1,Laboratory Method,1,efe0c810-8901-4a03-b0d1-7e3c630d8f12,>8,mg/L,Broth dilution,CLSI,,,2017-07-22T22:22:22.394Z
573.12782,gentamicin,Resistant,1,Laboratory Method,1,8cb10b26-18d2-4fbd-9024-c14cbfd60163,>16,mg/L,Broth dilution,CLSI,,,2017-07-22T22:22:22.394Z
573.12782,meropenem,Resistant,1,Laboratory Method,1,a8b626ae-6c88-41d7-8dad-ff6bc00c6fe1,>8,mg/L,Broth dilution,CLSI,,,2017-07-22T22:22:22.394Z
573.12783,ceftazidime,Resistant,1,Laboratory Method,1,2c9985e6-0029-423c-9226-114f4f099a9d,==128,mg/L,Broth dilution,CLSI,,,2017-07-22T22:32:33.964Z
573.12783,ciprofloxacin,Resistant,1,Laboratory Method,1,e0ddd603-b3e6-4676-8c0a-c860f6ca772f,>8,mg/L,Broth dilution,CLSI,,,2017-07-22T22:32:33.964Z
573.12783,gentamicin,Resistant,1,Laboratory Method,1,d5c414b2-c5f9-451e-9f6e-5b038027f2c8,>16,mg/L,Broth dilution,CLSI,,,2017-07-22T22:32:33.964Z
