genome_id,antibiotic,phenotype,evidence
synthetic_000_0,ceftazidime,Susceptible,Synthetic fixture
synthetic_000_0,ciprofloxacin,Resistant,Synthetic fixture
synthetic_000_0,gentamicin,Susceptible,Synthetic fixture
synthetic_000_0,meropenem,Susceptible,Synthetic fixture
synthetic_000_1,ceftazidime,Susceptible,Synthetic fixture
synthetic_000_1,ciprofloxacin,Resistant,Synthetic fixture
synthetic_000_1,gentamicin,Susceptible,Synthetic fixture
synthetic_000_1,meropenem,Susceptible,Synthetic fixture
synthetic_000_2,ceftazidime,Susceptible,Synthetic fixture
synthetic_000_2,ciprofloxacin,Resistant,Synthetic fixture
synthetic_000_2,gentamicin,Susceptible,Synthetic fixture
synthetic_000_2,meropenem,Susceptible,Synthetic fixture
synthetic_000_3,ceftazidime,Susceptible,Synthetic fixture
synthetic_000_3,ciprofloxacin,Resistant,Synthetic fixture
synthetic_000_3,gentamicin,Susceptible,Synthetic fixture
synthetic_000_3,meropenem,Susceptible,Synthetic fixture
synthetic_001_0,ceftazidime,Susceptible,Synthetic fixture
synthetic_001_0,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_001_0,gentamicin,Susceptible,Synthetic fixture
synthetic_001_0,meropenem,Resistant,Synthetic fixture
synthetic_001_1,ceftazidime,Susceptible,Synthetic fixture
synthetic_001_1,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_001_1,gentamicin,Susceptible,Synthetic fixture
synthetic_001_1,meropenem,Resistant,Synthetic fixture
synthetic_001_2,ceftazidime,Susceptible,Synthetic fixture
synthetic_001_2,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_001_2,gentamicin,Susceptible,Synthetic fixture
synthetic_001_2,meropenem,Resistant,Synthetic fixture
synthetic_001_3,ceftazidime,Susceptible,Synthetic fixture
synthetic_001_3,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_001_3,gentamicin,Susceptible,Synthetic fixture
synthetic_001_3,meropenem,Resistant,Synthetic fixture
synthetic_002_0,ceftazidime,Resistant,Synthetic fixture
synthetic_002_0,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_002_0,gentamicin,Susceptible,Synthetic fixture
synthetic_002_0,meropenem,Susceptible,Synthetic fixture
synthetic_002_1,ceftazidime,Resistant,Synthetic fixture
