genome_id,cluster_id,split
synthetic_000_0,cluster_000,train
synthetic_000_1,cluster_000,train
synthetic_000_2,cluster_000,train
synthetic_000_3,cluster_000,train
synthetic_001_0,cluster_001,train
synthetic_001_1,cluster_001,train
synthetic_001_2,cluster_001,train
synthetic_001_3,cluster_001,train
synthetic_002_0,cluster_002,train
synthetic_002_1,cluster_002,train
synthetic_002_2,cluster_002,train
synthetic_002_3,cluster_002,train
synthetic_003_0,cluster_003,train
synthetic_003_1,cluster_003,train
synthetic_003_2,cluster_003,train
synthetic_003_3,cluster_003,train
synthetic_004_0,cluster_004,train
synthetic_004_1,cluster_004,train
synthetic_004_2,cluster_004,train
synthetic_004_3,cluster_004,train
synthetic_005_0,cluster_005,train
synthetic_005_1,cluster_005,train
synthetic_005_2,cluster_005,train
synthetic_005_3,cluster_005,train
synthetic_006_0,cluster_006,train
synthetic_006_1,cluster_006,train
synthetic_006_2,cluster_006,train
synthetic_006_3,cluster_006,train
synthetic_007_0,cluster_007,train
synthetic_007_1,cluster_007,train
synthetic_007_2,cluster_007,train
synthetic_007_3,cluster_007,train
synthetic_008_0,cluster_008,train
synthetic_008_1,cluster_008,train
synthetic_008_2,cluster_008,train
synthetic_008_3,cluster_008,train
synthetic_009_0,cluster_009,train
synthetic_009_1,cluster_009,train
synthetic_009_2,cluster_009,train
synthetic_009_3,cluster_009,train
synthetic_010_0,cluster_010,train
synthetic_010_1,cluster_010,train
synthetic_010_2,cluster_010,train
synthetic_010_3,cluster_010,train
synthetic_011_0,cluster_011,train
synthetic_011_1,cluster_011,train
synthetic_011_2,cluster_011,train
synthetic_011_3,cluster_011,train
synthetic_012_0,cluster_012,train
synthetic_012_1,cluster_012,train
synthetic_012_2,cluster_012,train
synthetic_012_3,cluster_012,train
synthetic_013_0,cluster_013,train
synthetic_013_1,cluster_013,train
synthetic_013_2,cluster_013,train
synthetic_013_3,cluster_013,train
synthetic_014_0,cluster_014,train
synthetic_014_1,cluster_014,train
synthetic_014_2,cluster_014,train
synthetic_014_3,cluster_014,train
synthetic_015_0,cluster_015,train
synthetic_015_1,cluster_015,train
synthetic_015_2,cluster_015,train
