genome_id,cluster_id,split
573.13073,hc10_21937,calibration
573.13107,hc10_1684,train
573.13113,hc10_1684,train
573.13119,hc10_5641,train
573.13124,hc10_1684,train
573.13143,hc10_21374,train
573.13150,hc10_21958,train
573.13157,hc10_21938,train
573.13166,hc10_21655,train
573.13170,hc10_21386,train
573.13183,hc10_21965,train
573.13196,hc10_1684,train
573.13265,hc10_1684,train
573.13272,hc10_22259,train
573.13295,hc10_22272,calibration
573.13299,hc10_22219,train
573.13306,hc10_22283,train
573.13311,hc10_22219,train
573.13321,hc10_21704,calibration
573.13322,hc10_21617,train
573.13325,hc10_21707,train
573.13330,hc10_22259,train
573.13374,hc10_21702,train
573.13378,hc10_21938,train
573.13391,hc10_5708,train
573.13401,hc10_5716,calibration
573.13428,hc10_21924,calibration
573.13467,hc10_21647,train
573.13512,hc10_1684,train
573.13537,hc10_12661,calibration
573.13573,hc10_17168,calibration
573.13585,hc10_22239,train
573.13609,hc10_12672,train
573.13613,hc10_22346,calibration
573.13627,hc10_17176,train
573.13629,hc10_17173,train
573.13654,hc10_17190,train
573.13689,hc10_1684,train
573.13690,hc10_21938,train
573.13694,hc10_1684,train
573.13696,hc10_12700,train
573.13721,hc10_5641,train
573.13722,hc10_1684,train
573.13770,hc10_1684,train
573.13781,hc10_21325,train
573.13818,hc10_21466,test
573.13821,hc10_21469,test
573.13859,hc10_21770,test
573.13862,hc10_21946,test
573.13868,hc10_21422,test
573.13895,hc10_21492,test
573.13897,hc10_12695,test
573.13917,hc10_5641,test
573.13950,hc10_17427,test
573.13954,hc10_12731,test
573.13988,hc10_21771,train
573.13989,hc10_21617,train
573.14009,hc10_21340,train
573.14059,hc10_22085,train
573.14116,hc10_21647,train
573.14146,hc10_21325,train
573.14147,hc10_1684,train
573.14170,hc10_22126,train
573.14206,hc10_21325,train
573.14240,hc10_21946,train
573.14249,hc10_22157,train
573.14253,hc10_21647,train
573.14254,hc10_21617,train
573.14257,hc10_21939,train
573.14275,hc10_21647,train
573.14285,hc10_21944,train
573.14303,hc10_22229,train
573.14324,hc10_21637,train
573.14328,hc10_22421,train
573.14356,hc10_1684,train
573.14358,hc10_12669,train
573.14371,hc10_17428,train
573.14403,hc10_21885,train
573.14405,hc10_17437,train
573.14421,hc10_12720,train
573.14485,hc10_17428,train
573.14492,hc10_22229,train
573.14508,hc10_1684,train
573.14517,hc10_22229,train
573.14536,hc10_22222,train
573.14538,hc10_21908,train
573.14549,hc10_1684,train
573.14550,hc10_21978,calibration
573.15368,hc10_25463,train
573.15513,hc10_4875,train
573.15526,hc10_5230,calibration
573.15555,hc10_4879,train
573.15569,hc10_4900,train
573.15621,hc10_12406,train
573.1721,hc10_12959,train
573.1726,hc10_279,train
573.22560,hc10_1247,test
573.23198,hc10_533,test
573.23203,hc10_533,test
573.23211,hc10_542,test
573.23228,hc10_551,test
573.23233,hc10_533,test
573.24267,hc10_3709,test
573.24308,hc10_3739,test
573.24323,hc10_13627,calibration
573.24365,hc10_14177,train
573.24369,hc10_18045,train
573.24396,hc10_13644,train
573.24416,hc10_13648,train
573.26076,hc10_18133,test
573.26111,hc10_6248,test
573.26131,hc10_6057,test
573.26137,hc10_18138,test
573.26140,hc10_6061,test
573.26146,hc10_18143,test
573.26186,hc10_18153,test
573.26199,hc10_14105,test
573.26208,hc10_18157,test
573.26225,hc10_6078,test
573.26245,hc10_17555,test
573.26264,hc10_18389,test
573.26285,hc10_17564,test
573.26307,hc10_17569,test
573.26309,hc10_14121,test
573.26318,hc10_6273,test
573.26320,hc10_17571,test
573.34252,hc10_4879,train
573.34297,hc10_26672,calibration
573.46067,hc10_13300,train
573.46078,hc10_13302,train
573.46083,hc10_13319,train
573.46084,hc10_13320,train
573.46108,hc10_13335,train
573.46112,hc10_13339,train
573.46117,hc10_13302,train
573.46840,hc10_13501,test
573.46859,hc10_13501,test
