genome_id,genome_name,tested_drug_count,genome_length,contigs,checkm_completeness,checkm_contamination,fasta_relative_path,fasta_sha256
573.13322,Klebsiella pneumoniae KPN1364ec,4,5566096,135,100.0,0.0,data/genomes/573.13322.fna,
573.13265,Klebsiella pneumoniae KPN1286ec,4,5395956,84,100.0,0.3,data/genomes/573.13265.fna,
573.66913,Klebsiella pneumoniae KP_NORM_BLD_2013_91444,4,5518559,144,100.0,0.0,data/genomes/573.66913.fna,
573.13272,Klebsiella pneumoniae KPN1307ec,4,5445481,211,100.0,0.3,data/genomes/573.13272.fna,
573.66795,Klebsiella pneumoniae KP_NORM_BLD_13736,4,5351185,71,100.0,0.1,data/genomes/573.66795.fna,
573.13988,Klebsiella pneumoniae KPN247ec,4,5552023,118,100.0,0.3,data/genomes/573.13988.fna,
573.13721,Klebsiella pneumoniae KPN1859ec,4,5584917,106,100.0,0.0,data/genomes/573.13721.fna,
573.66181,Klebsiella pneumoniae KP_NORM_BLD_2014_102435,4,5426499,81,100.0,0.0,data/genomes/573.66181.fna,
573.66823,Klebsiella pneumoniae KP_NORM_BLD_14175,4,5348305,83,100.0,0.0,data/genomes/573.66823.fna,
573.23203,Klebsiella pneumoniae strain KP_017,4,5489697,119,99.78,0.11,data/genomes/573.23203.fna,
573.66979,Klebsiella pneumoniae KP_NORM_BLD_3090,4,5371464,58,100.0,0.0,data/genomes/573.66979.fna,
573.26307,Klebsiella pneumoniae strain 5012STDY7626429,4,5424256,45,99.78,0.0,data/genomes/573.26307.fna,
573.5706,Klebsiella pneumoniae strain W2-4-ERG4,4,5386643,35,100.0,0.0,data/genomes/573.5706.fna,
573.24396,Klebsiella pneumoniae strain MUGSI_312,4,5426740,109,99.78,0.0,data/genomes/573.24396.fna,
573.13374,Klebsiella pneumoniae KPN1432ec,4,5474300,113,100.0,0.5,data/genomes/573.13374.fna,
573.46078,Klebsiella pneumoniae INF073,4,5390303,88,99.78,0.0,data/genomes/573.46078.fna,
573.66667,Klebsiella pneumoniae KP_NORM_BLD_115369,4,5391604,63,100.0,0.0,data/genomes/573.66667.fna,
573.46117,Klebsiella pneumoniae INF260,4,5446933,95,99.78,0.0,data/genomes/573.46117.fna,
573.66950,Klebsiella pneumoniae KP_NORM_BLD_2260,4,4949809,120,100.0,0.2,data/genomes/573.66950.fna,
573.66687,Klebsiella pneumoniae KP_NORM_BLD_115981,4,5397008,148,99.6,0.0,data/genomes/573.66687.fna,
573.14508,Klebsiella pneumoniae KPN940ec,4,5393905,80,100.0,0.3,data/genomes/573.14508.fna,
573.24323,Klebsiella pneumoniae strain MRSN19181,4,5807116,141,99.78,0.11,data/genomes/573.24323.fna,
573.24267,Klebsiella pneumoniae strain 24,4,5591171,212,99.78,0.0,data/genomes/573.24267.fna,
573.26208,Klebsiella pneumoniae strain 5012STDY7312665,4,5432239,39,99.78,0.11,data/genomes/573.26208.fna,
573.14116,Klebsiella pneumoniae KPN394ec,4,5824681,148,100.0,0.3,data/genomes/573.14116.fna,
573.14403,Klebsiella pneumoniae KPN796ec,4,5501614,73,100.0,0.0,data/genomes/573.14403.fna,
573.66683,Klebsiella pneumoniae KP_NORM_BLD_115757,4,5410460,48,100.0,0.0,data/genomes/573.66683.fna,
573.14275,Klebsiella pneumoniae KPN606ec,4,5429548,98,100.0,0.0,data/genomes/573.14275.fna,
573.66787,Klebsiella pneumoniae KP_NORM_BLD_1342,4,5432389,77,100.0,0.0,data/genomes/573.66787.fna,
573.14253,Klebsiella pneumoniae KPN579ec,4,5479591,91,100.0,0.0,data/genomes/573.14253.fna,
573.66869,Klebsiella pneumoniae KP_NORM_BLD_2009_63807,4,5156951,60,99.9,0.0,data/genomes/573.66869.fna,
573.5803,Klebsiella pneumoniae strain PB171,4,5412783,32,100.0,0.0,data/genomes/573.5803.fna,
573.13862,Klebsiella pneumoniae KPN2036ec,4,5649086,115,100.0,0.0,data/genomes/573.13862.fna,
573.13157,Klebsiella pneumoniae KPN1162ec,4,5485535,106,100.0,0.0,data/genomes/573.13157.fna,
573.13295,Klebsiella pneumoniae KPN1334ec,4,5511968,69,100.0,0.0,data/genomes/573.13295.fna,
573.67094,Klebsiella pneumoniae KP_NORM_BLD_62934,4,5242590,68,100.0,0.0,data/genomes/573.67094.fna,
573.13897,Klebsiella pneumoniae KPN2075ec,4,5386850,71,100.0,0.0,data/genomes/573.13897.fna,
573.13073,Klebsiella pneumoniae KPN1055ec,4,5471371,116,100.0,0.3,data/genomes/573.13073.fna,
573.14371,Klebsiella pneumoniae KPN752ec,4,5532447,129,100.0,0.0,data/genomes/573.14371.fna,
573.1726,Klebsiella pneumoniae strain KpVA-8,4,5736342,169,100.0,0.3,data/genomes/573.1726.fna,
573.14147,Klebsiella pneumoniae KPN427ec,4,5409009,96,100.0,0.0,data/genomes/573.14147.fna,
573.13512,Klebsiella pneumoniae KPN1587ec,4,5500320,97,100.0,0.0,data/genomes/573.13512.fna,
573.12952,Klebsiella pneumoniae 3324,4,5432515,349,100.0,0.3,data/genomes/573.12952.fna,
573.26146,Klebsiella pneumoniae strain 5012STDY7312581,4,5454508,38,99.78,0.0,data/genomes/573.26146.fna,
573.5638,Klebsiella pneumoniae strain 12_BR_13,4,5860872,98,100.0,0.0,data/genomes/573.5638.fna,
573.13330,Klebsiella pneumoniae KPN1380ec,4,5513942,118,100.0,0.0,data/genomes/573.13330.fna,
573.13770,Klebsiella pneumoniae KPN1913ec,4,5475073,110,100.0,0.0,data/genomes/573.13770.fna,
573.13401,Klebsiella pneumoniae KPN1461ec,4,5535640,121,100.0,0.1,data/genomes/573.13401.fna,
573.12935,Klebsiella pneumoniae 104,4,5447659,282,100.0,0.0,data/genomes/573.12935.fna,
573.26140,Klebsiella pneumoniae strain 5012STDY7312579,4,5578326,92,99.78,0.11,data/genomes/573.26140.fna,
573.24369,Klebsiella pneumoniae strain MUGSI_180,4,5695659,203,99.78,0.44,data/genomes/573.24369.fna,
573.15621,Klebsiella pneumoniae strain KSB2_5B,4,5393889,58,100.0,0.0,data/genomes/573.15621.fna,
573.14538,Klebsiella pneumoniae KPN980ec,4,5488089,78,100.0,0.3,data/genomes/573.14538.fna,
573.46108,Klebsiella pneumoniae KSB1_8I,4,5455568,47,99.78,0.0,data/genomes/573.46108.fna,
573.66656,Klebsiella pneumoniae KP_NORM_BLD_115323,4,5449992,77,100.0,0.0,data/genomes/573.66656.fna,
573.13950,Klebsiella pneumoniae KPN2158ec,4,5575183,165,99.7,0.3,data/genomes/573.13950.fna,
573.13689,Klebsiella pneumoniae KPN1821ec,4,5425505,133,100.0,0.0,data/genomes/573.13689.fna,
573.14240,Klebsiella pneumoniae KPN564ec,4,6011394,145,100.0,0.3,data/genomes/573.14240.fna,
573.13113,Klebsiella pneumoniae KPN1109ec,4,5503806,92,99.7,0.0,data/genomes/573.13113.fna,
573.66825,Klebsiella pneumoniae KP_NORM_BLD_14177,4,5317643,144,100.0,0.2,data/genomes/573.66825.fna,
573.15368,Klebsiella pneumoniae strain KSB1_10J,4,5677989,6,100.0,0.0,data/genomes/573.15368.fna,
573.67049,Klebsiella pneumoniae KP_NORM_BLD_61902,4,5658122,121,100.0,0.0,data/genomes/573.67049.fna,
573.46840,Klebsiella pneumoniae KP-14PI,4,5848107,86,99.78,0.0,data/genomes/573.46840.fna,
573.66638,Klebsiella pneumoniae KP_NORM_BLD_114323,4,5495685,55,100.0,0.0,data/genomes/573.66638.fna,
573.1721,Klebsiella pneumoniae strain KpVA-3,4,5728735,415,100.0,2.3,data/genomes/573.1721.fna,
573.26137,Klebsiella pneumoniae strain 5012STDY7312753,4,5488506,96,99.78,0.0,data/genomes/573.26137.fna,
573.23198,Klebsiella pneumoniae strain KP_208,4,5484769,109,99.78,0.11,data/genomes/573.23198.fna,
573.13119,Klebsiella pneumoniae KPN1117ec,4,5718338,105,100.0,0.0,data/genomes/573.13119.fna,
573.14328,Klebsiella pneumoniae KPN700ec,4,5617426,82,98.3,0.4,data/genomes/573.14328.fna,
573.15569,Klebsiella pneumoniae strain KSB1_3J,4,5469639,50,100.0,1.0,data/genomes/573.15569.fna,
573.13722,Klebsiella pneumoniae KPN185ec,4,5601186,154,100.0,0.0,data/genomes/573.13722.fna,
573.66672,Klebsiella pneumoniae KP_NORM_BLD_115382,4,5099723,75,100.0,0.1,data/genomes/573.66672.fna,
573.13859,Klebsiella pneumoniae KPN2032ec,4,5660781,93,100.0,0.0,data/genomes/573.13859.fna,
573.12993,Klebsiella pneumoniae 64,4,5392755,302,100.0,0.3,data/genomes/573.12993.fna,
573.13895,Klebsiella pneumoniae KPN2072ec,4,5750485,102,100.0,0.7,data/genomes/573.13895.fna,
573.13391,Klebsiella pneumoniae KPN144ec,4,5588901,205,99.7,1.4,data/genomes/573.13391.fna,
573.66198,Klebsiella pneumoniae KP_NORM_BLD_2014_102946,4,5575724,64,99.9,0.0,data/genomes/573.66198.fna,
573.13609,Klebsiella pneumoniae KPN1706ec,4,5360691,78,100.0,0.0,data/genomes/573.13609.fna,
573.14303,Klebsiella pneumoniae KPN669ec,4,5399957,92,100.0,0.0,data/genomes/573.14303.fna,
573.66873,Klebsiella pneumoniae KP_NORM_BLD_2009_63480,4,5500836,84,100.0,0.1,data/genomes/573.66873.fna,
573.66906,Klebsiella pneumoniae KP_NORM_BLD_2012_86962,4,5435878,58,100.0,0.1,data/genomes/573.66906.fna,
573.26076,Klebsiella pneumoniae strain 5012STDY7312713,4,5792318,75,99.78,0.0,data/genomes/573.26076.fna,
573.13585,Klebsiella pneumoniae KPN1680ec,4,5510014,111,100.0,0.0,data/genomes/573.13585.fna,
573.14492,Klebsiella pneumoniae KPN919ec,4,5481993,93,100.0,0.3,data/genomes/573.14492.fna,
573.5797,Klebsiella pneumoniae strain PB173,4,5911187,69,100.0,0.0,data/genomes/573.5797.fna,
573.13170,Klebsiella pneumoniae KPN1177ec,4,5447893,65,100.0,0.3,data/genomes/573.13170.fna,
573.5793,Klebsiella pneumoniae strain PB256,4,5582572,44,100.0,0.7,data/genomes/573.5793.fna,
573.5770,Klebsiella pneumoniae strain 8_GR_13,4,5813542,128,100.0,0.0,data/genomes/573.5770.fna,
573.13150,Klebsiella pneumoniae KPN1152ec,4,5357984,68,99.7,0.0,data/genomes/573.13150.fna,
573.14059,Klebsiella pneumoniae KPN325ec,4,5704684,64,98.0,1.0,data/genomes/573.14059.fna,
573.12891,Klebsiella pneumoniae 3310,4,5398887,306,100.0,0.7,data/genomes/573.12891.fna,
573.66745,Klebsiella pneumoniae KP_NORM_BLD_117583,4,5518194,50,100.0,0.0,data/genomes/573.66745.fna,
573.14358,Klebsiella pneumoniae KPN735ec,4,5416023,87,100.0,0.0,data/genomes/573.14358.fna,
573.13166,Klebsiella pneumoniae KPN1171ec,4,5449103,59,100.0,0.3,data/genomes/573.13166.fna,
573.24365,Klebsiella pneumoniae strain MUGSI_161,4,5678319,167,99.55,0.0,data/genomes/573.24365.fna,
573.66613,Klebsiella pneumoniae KP_NORM_BLD_113303,4,5451083,78,100.0,0.0,data/genomes/573.66613.fna,
573.13821,Klebsiella pneumoniae KPN1988ec,4,5498844,86,99.3,0.7,data/genomes/573.13821.fna,
573.13299,Klebsiella pneumoniae KPN1338ec,4,5362100,186,100.0,1.2,data/genomes/573.13299.fna,
573.5821,Klebsiella pneumoniae strain W2-13-ERG1,4,5496573,43,100.0,0.0,data/genomes/573.5821.fna,
573.66678,Klebsiella pneumoniae KP_NORM_BLD_115734,4,5392993,74,100.0,0.0,data/genomes/573.66678.fna,
573.14146,Klebsiella pneumoniae KPN426ec,4,5563714,141,100.0,0.0,data/genomes/573.14146.fna,
573.46083,Klebsiella pneumoniae INF114,4,5622994,37,99.78,0.0,data/genomes/573.46083.fna,
