checkm_completeness,checkm_contamination,contigs,date_modified,genome_id,genome_length,genome_name,genome_status,taxon_id,assembly_accession,genome_quality_flags,quality_pass,quality_reasons,tested_drug_count,stable_rank
100.0,0.0,135,2017-08-08T21:03:56.925Z,573.13322,5566096,Klebsiella pneumoniae KPN1364ec,WGS,573,,,True,,4,000c5d5a2472e2749bcb10c2bcb62efbacb392669fb56b235c18c0077d736ce8
100.0,0.3,84,2017-08-08T18:02:58.377Z,573.13265,5395956,Klebsiella pneumoniae KPN1286ec,WGS,573,,,True,,4,000d4af7843c0648490d92bc0c0c31fe8ae71d1b1d402d1a4b649033041e7471
100.0,0.0,144,2024-03-03T21:17:26.457Z,573.66913,5518559,Klebsiella pneumoniae KP_NORM_BLD_2013_91444,WGS,573,,,True,,4,001405d0c9a1587545ef42d0e75b6e0ca64d6e26a94a77ad447a76a8a8cd63f0
100.0,0.3,211,2017-08-08T18:04:33.286Z,573.13272,5445481,Klebsiella pneumoniae KPN1307ec,WGS,573,,,True,,4,001dae57068816b70265f75392c11b4d2371ac1052328472f1471dc17516f079
100.0,0.1,71,2024-03-03T21:10:43.009Z,573.66795,5351185,Klebsiella pneumoniae KP_NORM_BLD_13736,WGS,573,,,True,,4,00210e35f8172b423f3de9c1e744a9fe4f28edd9dbad0ff8f9edc58b45b65c38
100.0,0.3,118,2017-08-09T03:13:57.427Z,573.13988,5552023,Klebsiella pneumoniae KPN247ec,WGS,573,,,True,,4,0039b2b268a79086b58dafd42084a09e7aac2ca8fb23cd46eb0b85efb39f7cba
100.0,0.0,106,2017-08-09T00:35:48.339Z,573.13721,5584917,Klebsiella pneumoniae KPN1859ec,WGS,573,,,True,,4,0046913579a84ec3a8bc743e3ad878adb2d0e3912266755b41802658f537ddd5
100.0,0.0,81,2024-03-03T20:32:31.378Z,573.66181,5426499,Klebsiella pneumoniae KP_NORM_BLD_2014_102435,WGS,573,,,True,,4,0049bd468f9a6e7032541d158ae5f04ce3511d3895a80f73a0dbf3fdf227486a
100.0,0.0,83,2024-03-03T21:12:19.535Z,573.66823,5348305,Klebsiella pneumoniae KP_NORM_BLD_14175,WGS,573,,,True,,4,0049de6d78a6c6e098453fcfb5fbf50f88e9654ff1ab5c2cbeda736187518d17
99.78,0.11,119,2019-01-31T07:08:24.355Z,573.23203,5489697,Klebsiella pneumoniae strain KP_017,WGS,573,GCA_003936515.1,,True,,4,0060e85d39d37f7eaffcae7914082fadee97ca5ea9775868018ef111dedfd6b9
100.0,0.0,58,2024-03-03T21:21:13.420Z,573.66979,5371464,Klebsiella pneumoniae KP_NORM_BLD_3090,WGS,573,,,True,,4,0064bd8b25c113428a1e5eddda0c4c625d974a031fe40a0ea054033552ffcfca
99.78,0.0,45,2019-07-15T17:06:10.203Z,573.26307,5424256,Klebsiella pneumoniae strain 5012STDY7626429,WGS,573,GCA_900776395.1,,True,,4,0068a823ad0201283407c8c9d172ade5480bb9f25cf21ac00b210e25308e8f96
100.0,0.0,35,2016-08-27T17:23:44.243Z,573.5706,5386643,Klebsiella pneumoniae strain W2-4-ERG4,WGS,573,GCF_900093275.1,,True,,4,008c52cf62168ecb0bc479ce2339e30bf9fb63e2724407b1cb59d5d35b0950d0
